time_s,unit,isaac_d20_requested_right_elbow_pitch_joint,isaac_d20_effective_right_elbow_pitch_joint,mujoco_d20_requested_right_elbow_pitch_joint,mujoco_d20_effective_right_elbow_pitch_joint,isaac_d20_requested_right_hip_pitch_joint,isaac_d20_effective_right_hip_pitch_joint,mujoco_d20_requested_right_hip_pitch_joint,mujoco_d20_effective_right_hip_pitch_joint,isaac_d20_requested_waist_yaw_joint,isaac_d20_effective_waist_yaw_joint,mujoco_d20_requested_waist_yaw_joint,mujoco_d20_effective_waist_yaw_joint
2.54,rad,-0.000655,0.000025,-0.091926,-0.091812,0.464210,0.462876,0.487697,0.487208,-0.046669,-0.046630,-0.028352,-0.028155
2.56,rad,-0.001071,-0.000655,-0.092236,-0.091926,0.465505,0.464210,0.487970,0.487697,-0.046616,-0.046669,-0.028418,-0.028352
2.58,rad,-0.001153,-0.001071,-0.090183,-0.092236,0.466899,0.465505,0.487344,0.487970,-0.046538,-0.046616,-0.028125,-0.028418
2.60,rad,-0.001459,-0.001153,-0.091609,-0.090183,0.468081,0.466899,0.487842,0.487344,-0.046444,-0.046538,-0.027938,-0.028125
2.62,rad,-0.001874,-0.001459,-0.089774,-0.091609,0.468985,0.468081,0.488008,0.487842,-0.046345,-0.046444,-0.027671,-0.027938
2.64,rad,-0.001735,-0.001874,-0.089773,-0.089774,0.469663,0.468985,0.487850,0.488008,-0.046275,-0.046345,-0.027582,-0.027671
2.66,rad,-0.001188,-0.001735,-0.086879,-0.089773,0.470259,0.469663,0.487821,0.487850,-0.046255,-0.046275,-0.027339,-0.027582
2.68,rad,-0.000390,-0.001188,-0.088177,-0.086879,0.470694,0.470259,0.488147,0.487821,-0.046294,-0.046255,-0.027320,-0.027339
2.70,rad,0.000241,-0.000390,-0.087371,-0.088177,0.471221,0.470694,0.490186,0.488147,-0.046397,-0.046294,-0.027386,-0.027320
2.72,rad,0.000875,0.000241,-0.089143,-0.087371,0.471931,0.471221,0.494863,0.490186,-0.046550,-0.046397,-0.027336,-0.027386
2.74,rad,0.001388,0.000875,-0.088668,-0.089143,0.472355,0.471931,0.493807,0.494863,-0.046669,-0.046550,-0.026913,-0.027336
2.76,rad,0.001600,0.001388,-0.089854,-0.088668,0.472461,0.472355,0.491666,0.493807,-0.046707,-0.046669,-0.027108,-0.026913
2.78,rad,0.001625,0.001600,-0.090411,-0.089854,0.472303,0.472461,0.491968,0.491666,-0.046644,-0.046707,-0.027087,-0.027108
2.80,rad,0.001849,0.001625,-0.091986,-0.090411,0.471710,0.472303,0.491863,0.491968,-0.046452,-0.046644,-0.026995,-0.027087
2.82,rad,0.002235,0.001849,-0.089376,-0.091986,0.470931,0.471710,0.491675,0.491863,-0.046150,-0.046452,-0.027007,-0.026995
2.84,rad,0.002271,0.002235,-0.086972,-0.089376,0.470230,0.470931,0.491206,0.491675,-0.045849,-0.046150,-0.026337,-0.027007
2.86,rad,0.002081,0.002271,-0.090002,-0.086972,0.469887,0.470230,0.490708,0.491206,-0.045574,-0.045849,-0.025857,-0.026337
2.88,rad,0.001986,0.002081,-0.089478,-0.090002,0.469558,0.469887,0.490443,0.490708,-0.045343,-0.045574,-0.025934,-0.025857
2.90,rad,0.002756,0.001986,-0.087537,-0.089478,0.469120,0.469558,0.489741,0.490443,-0.045196,-0.045343,-0.026175,-0.025934
2.92,rad,0.003539,0.002756,-0.087095,-0.087537,0.468348,0.469120,0.489798,0.489741,-0.045120,-0.045196,-0.026214,-0.026175
2.94,rad,0.003197,0.003539,-0.087826,-0.087095,0.467377,0.468348,0.489955,0.489798,-0.045089,-0.045120,-0.026491,-0.026214
2.96,rad,0.001957,0.003197,-0.089349,-0.087826,0.466224,0.467377,0.489831,0.489955,-0.045067,-0.045089,-0.026606,-0.026491
2.98,rad,0.000568,0.001957,-0.091314,-0.089349,0.464904,0.466224,0.489998,0.489831,-0.045047,-0.045067,-0.026532,-0.026606
3.00,rad,-0.000529,0.000568,-0.093620,-0.091314,0.463459,0.464904,0.489802,0.489998,-0.045002,-0.045047,-0.026414,-0.026532
3.02,rad,-0.001309,-0.000529,-0.094830,-0.093620,0.461998,0.463459,0.489605,0.489802,-0.044945,-0.045002,-0.026322,-0.026414
3.04,rad,-0.001814,-0.001309,-0.095501,-0.094830,0.460610,0.461998,0.489235,0.489605,-0.044921,-0.044945,-0.026262,-0.026322
3.06,rad,-0.002179,-0.001814,-0.096045,-0.095501,0.459169,0.460610,0.488719,0.489235,-0.044908,-0.044921,-0.026215,-0.026262
3.08,rad,-0.002703,-0.002179,-0.096707,-0.096045,0.457775,0.459169,0.488117,0.488719,-0.044893,-0.044908,-0.026183,-0.026215
3.10,rad,-0.003660,-0.002703,-0.097713,-0.096707,0.456809,0.457775,0.487656,0.488117,-0.044910,-0.044893,-0.026168,-0.026183
3.12,rad,-0.004682,-0.003660,-0.098644,-0.097713,0.455936,0.456809,0.487313,0.487656,-0.044958,-0.044910,-0.026184,-0.026168
3.14,rad,-0.005392,-0.004682,-0.099366,-0.098644,0.455199,0.455936,0.487048,0.487313,-0.045017,-0.044958,-0.026193,-0.026184
3.16,rad,-0.005885,-0.005392,-0.099711,-0.099366,0.454508,0.455199,0.486753,0.487048,-0.045083,-0.045017,-0.026196,-0.026193
3.18,rad,-0.006071,-0.005885,-0.099753,-0.099711,0.453861,0.454508,0.486172,0.486753,-0.045180,-0.045083,-0.026207,-0.026196
3.20,rad,-0.006270,-0.006071,-0.099987,-0.099753,0.453297,0.453861,0.485929,0.486172,-0.045282,-0.045180,-0.026221,-0.026207
3.22,rad,-0.006749,-0.006270,-0.100314,-0.099987,0.452687,0.453297,0.485813,0.485929,-0.045350,-0.045282,-0.026196,-0.026221
3.24,rad,-0.007246,-0.006749,-0.101089,-0.100314,0.451929,0.452687,0.485377,0.485813,-0.045445,-0.045350,-0.026146,-0.026196
3.26,rad,-0.007940,-0.007246,-0.102148,-0.101089,0.451052,0.451929,0.484797,0.485377,-0.045544,-0.045445,-0.026073,-0.026146
3.28,rad,-0.008825,-0.007940,-0.105087,-0.102148,0.450251,0.451052,0.488414,0.484797,-0.045619,-0.045544,-0.025547,-0.026073
3.30,rad,-0.009907,-0.008825,-0.108181,-0.105087,0.449724,0.450251,0.487736,0.488414,-0.045692,-0.045619,-0.024982,-0.025547
3.32,rad,-0.011031,-0.009907,-0.107651,-0.108181,0.449513,0.449724,0.483084,0.487736,-0.045773,-0.045692,-0.025277,-0.024982
3.34,rad,-0.012318,-0.011031,-0.107268,-0.107651,0.449512,0.449513,0.480937,0.483084,-0.045826,-0.045773,-0.025544,-0.025277
3.36,rad,-0.013661,-0.012318,-0.111862,-0.107268,0.449618,0.449512,0.484112,0.480937,-0.045839,-0.045826,-0.025133,-0.025544
3.38,rad,-0.014940,-0.013661,-0.112567,-0.111862,0.449703,0.449618,0.482370,0.484112,-0.045833,-0.045839,-0.024966,-0.025133
3.40,rad,-0.015243,-0.014940,-0.110357,-0.112567,0.449619,0.449703,0.479707,0.482370,-0.045827,-0.045833,-0.025256,-0.024966
3.42,rad,-0.015282,-0.015243,-0.110823,-0.110357,0.449625,0.449619,0.481255,0.479707,-0.045809,-0.045827,-0.024907,-0.025256
3.44,rad,-0.016643,-0.015282,-0.116425,-0.110823,0.450010,0.449625,0.483387,0.481255,-0.045770,-0.045809,-0.024225,-0.024907
3.46,rad,-0.018661,-0.016643,-0.118209,-0.116425,0.450768,0.450010,0.483074,0.483387,-0.045707,-0.045770,-0.024090,-0.024225
3.48,rad,-0.020615,-0.018661,-0.116709,-0.118209,0.451561,0.450768,0.476982,0.483074,-0.045636,-0.045707,-0.023666,-0.024090
3.50,rad,-0.021662,-0.020615,-0.120495,-0.116709,0.452149,0.451561,0.475360,0.476982,-0.045585,-0.045636,-0.023391,-0.023666
3.52,rad,-0.021995,-0.021662,-0.120208,-0.120495,0.452564,0.452149,0.475201,0.475360,-0.045546,-0.045585,-0.023069,-0.023391
3.54,rad,-0.021908,-0.021995,-0.119866,-0.120208,0.452962,0.452564,0.472474,0.475201,-0.045523,-0.045546,-0.023257,-0.023069
3.56,rad,-0.021369,-0.021908,-0.115987,-0.119866,0.453396,0.452962,0.470928,0.472474,-0.045522,-0.045523,-0.023530,-0.023257
